2024-03-11 22:40:32 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2024-03-11 22:40:32 0 [Note] InnoDB: Number of pools: 1
2024-03-11 22:40:32 0 [Note] InnoDB: Using crc32 + pclmulqdq instructions
2024-03-11 22:40:32 0 [Note] InnoDB: Initializing buffer pool, total size = 16777216, chunk size = 16777216
2024-03-11 22:40:32 0 [Note] InnoDB: Completed initialization of buffer pool
2024-03-11 22:40:32 0 [Note] InnoDB: Setting log file C:/xampp/mysql/data/ib_logfile101 size to 5242880 bytes
2024-03-11 22:40:32 0 [Note] InnoDB: Renaming log file C:/xampp/mysql/data/ib_logfile101 to C:/xampp/mysql/data/ib_logfile0
2024-03-11 22:40:32 0 [Note] InnoDB: New log file created, LSN=139827
2024-03-11 22:40:32 0 [Note] InnoDB: 128 rollback segments are active.
2024-03-11 22:40:32 0 [Note] InnoDB: Creating shared tablespace for temporary tables
2024-03-11 22:40:32 0 [Note] InnoDB: Setting file 'C:/xampp/mysql/data/ibtmp1' size to 12 MB. Physically writing the file full; Please wait ...
2024-03-11 22:40:32 0 [Note] InnoDB: File 'C:/xampp/mysql/data/ibtmp1' size is now 12 MB.
2024-03-11 22:40:32 0 [Note] InnoDB: 10.6.7 started; log sequence number 0; transaction id 218
2024-03-11 22:40:32 0 [Note] Plugin 'FEEDBACK' is disabled.
2024-03-11 22:40:32 0 [Note] InnoDB: Loading buffer pool(s) from C:\xampp\mysql\data/ib_buffer_pool
2024-03-11 22:40:32 0 [Note] InnoDB: Cannot open 'C:\xampp\mysql\data/ib_buffer_pool' for reading: No such file or directory
2024-03-11 22:40:32 0 [Note] Zerofilling moved table:  '.\mysql\plugin'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\servers'
2024-03-11 22:40:33 0 [Note] Server socket created on IP: '::'.
2024-03-11 22:40:33 0 [Note] Server socket created on IP: '0.0.0.0'.
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\db'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\proxies_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\roles_mapping'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\global_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone_leap_second'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone_name'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone_transition_type'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone_transition'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\tables_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\columns_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\procs_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\func'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\event'
2024-03-11 22:40:33 0 [ERROR] Incorrect definition of table mysql.event: expected column 'definer' at position 3 to have type varchar(, found type char(141).
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=359] with future log sequence number 303533
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=221] with future log sequence number 303489
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=358] with future log sequence number 303489
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=220] with future log sequence number 303445
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=357] with future log sequence number 303445
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=219] with future log sequence number 303401
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=356] with future log sequence number 303401
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=218] with future log sequence number 303357
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=355] with future log sequence number 303357
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=217] with future log sequence number 303313
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=354] with future log sequence number 303313
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=216] with future log sequence number 303269
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=353] with future log sequence number 303269
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=215] with future log sequence number 303225
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=352] with future log sequence number 303225
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=214] with future log sequence number 303181
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=351] with future log sequence number 303181
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=213] with future log sequence number 303137
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=350] with future log sequence number 303137
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=212] with future log sequence number 303077
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=349] with future log sequence number 303077
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=211] with future log sequence number 303033
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=348] with future log sequence number 303033
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=210] with future log sequence number 302989
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=347] with future log sequence number 302989
